IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,TCD,Chad,Year,2023,true,,,,,,,,,,,,,6123,,,4041,,10222,6123 [4041-10 222],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2023,true,,,,,,,,,,,,,6472,,,4507,,10067,6472 [4507-10 067],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,MRT,Mauritania,Year,2023,true,,,,,,,,,,,,,658.8,,,454,,969.8,659 [454-970],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2023,true,,,,,,,,,,,,,74559,,,53945,,115636,74 559 [53 945-115 636],,,EN,2025-04-10T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2023,true,,,,,,,,,,,,,7.78,,,5.14,,12.41,8 [5-12],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2023,true,,,,,,,,,,,,,8003,,,5272,,13632,8003 [5272-13 632],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,RWA,Rwanda,Year,2023,true,,,,,,,,,,,,,907.8,,,623.1,,1476,908 [623-1476],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2023,true,,,,,,,,,,,,,915.4,,,645.2,,1390,915 [645-1390],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2023,true,,,,,,,,,,,,,94.98,,,56.54,,168.8,95 [57-169],,,EN,2025-04-07T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,AFR,Africa,Country,BWA,Botswana,Year,2023,true,,,,,,,,,,,,,95.07,,,58.82,,164.2,95 [59-164],,,EN,2025-04-07T00:00:00.000Z
