"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Algeria","DZA","Rural population (% of total population)","SP.RUR.TOTL.ZS","47.915","47.129","46.343","45.561","44.781","44.003","43.226","42.456","41.687","40.882","40.081","39.288","38.499","37.716","36.939","36.17","35.407","34.652","33.903","33.174","32.46","31.764","31.085","30.424","29.779","29.152","28.541",
"East Asia & Pacific (excluding high income)","EAP","Rural population (% of total population)","SP.RUR.TOTL.ZS","71.8934578577697","71.117368473937","70.3161921146856","69.5022479848348","68.6743390197111","67.8334774006147","66.9775408149051","66.1125756161218","65.2346812515492","64.3453385886607","63.4312026624793","62.4024340576567","61.2933752348522","60.1722285806353","59.040280593057","57.904124666101","56.7924774620152","55.6928116807428","54.5881742379678","53.4829463576045","52.3762712092781","51.3343013101515","50.3200638782868","49.312767663912","48.3085958277644","47.3094556716543","46.3142406431906",
"East Asia & Pacific","EAS","Rural population (% of total population)","SP.RUR.TOTL.ZS","66.0380237716107","65.3465090573557","64.6445277517645","63.9288046862471","63.1951665252535","62.4444159382303","61.6847225649864","60.9283918162188","60.1588249641403","59.3801514081147","58.5737745051203","57.5823849238818","56.4985784824867","55.4140097365031","54.3265166419441","53.2425429369627","52.1889675702818","51.1540247814247","50.112622886587","49.0804704469241","48.0521970841766","47.1200769617788","46.2221284835501","45.3317760139923","44.4426489439137","43.5567807581117","42.6748260293565",
"Europe & Central Asia (excluding high income)","ECA","Rural population (% of total population)","SP.RUR.TOTL.ZS","36.971608148733","36.8209916260325","36.7302502536453","36.6693730928854","36.6016075044369","36.5191765710464","36.4485419530517","36.380594783565","36.3102463331675","36.2337479574743","36.1480014570006","36.0326905439312","35.8881205627314","35.7118481978576","35.5282267394576","35.3396782568098","35.1492809712921","34.9498210545084","34.7492745868813","34.5583542001976","34.3795495423849","34.2175331875506","34.0639939763266","33.9101165437334","33.7526704762792","33.5904483553256","33.422134444823",
"Europe & Central Asia","ECS","Rural population (% of total population)","SP.RUR.TOTL.ZS","32.4073832603322","32.2744792149118","32.1686199731435","32.0735987822741","31.9635767103575","31.8485389741907","31.7371318462155","31.6331204923324","31.5254898589697","31.4131944469125","31.2846064777817","31.1324318483394","30.9319662009802","30.7218456607542","30.510204188901","30.2962877590925","30.083068735316","29.8681033813827","29.6559970826503","29.455496400842","29.261831298098","29.083742832143","28.9089545186476","28.7366564903106","28.5648828818266","28.3859086335715","28.2018888598539",
"Ecuador","ECU","Rural population (% of total population)","SP.RUR.TOTL.ZS","44.91","44.291","43.774","43.26","42.746","42.234","41.723","41.215","40.709","40.204","39.701","39.201","38.882","38.684","38.486","38.289","38.093","37.896","37.7","37.505","37.31","37.149","37.012","36.875","36.739","36.602","36.466",
"Egypt, Arab Rep.","EGY","Rural population (% of total population)","SP.RUR.TOTL.ZS","56.522","56.655","56.788","56.921","57.054","57.186","57.319","57.342","57.296","57.25","57.203","57.157","57.111","57.065","57.019","56.973","56.927","56.922","56.942","56.961","56.981","57","57.054","57.107","57.161","57.215","57.268",
"Euro area","EMU","Rural population (% of total population)","SP.RUR.TOTL.ZS","28.7774572333925","28.6169267682323","28.467991705526","28.3038015732991","28.1214249278177","27.9436661277028","27.7677248876178","27.5941045290488","27.4224826110314","27.2462847895856","27.0578335674302","26.852754988757","26.6092213134846","26.3586138303766","26.1131204967862","25.8700297145265","25.6321680869753","25.4033717869569","25.1768519292828","24.9491091843576","24.7183017020089","24.4903501034585","24.2749110292993","24.0693623305371","23.8718620168773","23.6602979635905","23.4456891027617",
"Eritrea","ERI","Rural population (% of total population)","SP.RUR.TOTL.ZS","81.095","80.41","79.706","78.985","78.245","77.486","76.707","75.912","75.097","74.265","73.413","72.545","71.659","70.756","69.836","68.901","67.949","66.983","66","65.415","64.825","64.229","63.628","63.021","62.41","61.794","61.173",
"Spain","ESP","Rural population (% of total population)","SP.RUR.TOTL.ZS","24.649","24.472","24.39","24.308","24.226","24.144","24.062","23.981","23.9","23.819","23.738","23.657","23.467","23.222","22.978","22.737","22.498","22.26","22.024","21.79","21.558","21.327","21.098","20.867","20.634","20.398","20.16",
