measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Number,2001,11405291.811915029,13864828.198548822,8950326.45351343
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0167077145153132,0.0203158669884305,0.0130904854859561
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Rate,2001,1657.20201422948,2014.57547921545,1300.49272490147
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,1110041.8798956638,1417891.622946374,835951.3619092025
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,0.0016260645480777,0.0020760591498448,0.0012241558862356
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,161.29036148995,206.021283125,121.46469407354
Incidence,African Region,Both,All ages,Rheumatic heart disease,Number,2001,1318786.2702240923,1579549.2811566568,1076777.69513971
Incidence,African Region,Both,All ages,Rheumatic heart disease,Percent,2001,0.0003097388300591,0.0003798397074233,0.0002476813976013
Incidence,African Region,Both,All ages,Rheumatic heart disease,Rate,2001,191.62116142178,229.51032673911,156.4570371973
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2001,104978.50614486032,133379.9840530962,78947.8314233007
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2001,2.46409991118e-05,3.20442529724e-05,1.84366145569e-05
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2001,15.253497648540002,19.38026504501,11.47121068108
Deaths,African Region,Both,All ages,Rheumatic heart disease,Number,2002,17323.796778516844,25376.14851126748,11300.106862482651
Deaths,African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0019279787636117,0.0028263343173014,0.0012544259524818
Deaths,African Region,Both,All ages,Rheumatic heart disease,Rate,2002,2.4518812872262203,3.591551232799504,1.5993330396334675
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,5892.036948179153,7390.367994749302,4638.998255927074
