country,iso3,year,maternal_mortality_ratio,district_hospitals_per_100000,physicians_per_10000
Seychelles,SYC,2024,,,16.33
Sierra Leone,SLE,2022,,,1.34
Sierra Leone,SLE,2023,353.6,,
Sierra Leone,SLE,2023,915.4,,
South Africa,ZAF,2013,,0.53,
South Africa,ZAF,2023,117.6,,
South Africa,ZAF,2023,1395.0,,
South Africa,ZAF,2024,,,7.66
South Sudan,SSD,2023,691.8,,
South Sudan,SSD,2023,2271.0,,
South Sudan,SSD,2024,,,1.49
Togo,TGO,2013,,0.51,
Togo,TGO,2023,348.9,,
Togo,TGO,2023,1011.0,,
Togo,TGO,2024,,,0.59
Uganda,UGA,2013,,0.36,
Uganda,UGA,2023,170.3,,
Uganda,UGA,2023,2917.0,,
Uganda,UGA,2024,,,2.06
United Republic of Tanzania,TZA,2023,275.8,,
United Republic of Tanzania,TZA,2023,6472.0,,
United Republic of Tanzania,TZA,2024,,,1.75
Zambia,ZMB,2013,,0.3,
Zambia,ZMB,2023,85.45,,
Zambia,ZMB,2023,585.8,,
Zambia,ZMB,2024,,,1.63
Zimbabwe,ZWE,2013,,0.37,
Zimbabwe,ZWE,2023,357.6,,
Zimbabwe,ZWE,2023,1777.0,,
Zimbabwe,ZWE,2024,,,1.86
